"ZIP","State","County","City","Distance"
48910,MI,Ingham,Lansing,0.00
48908,MI,Eaton,Lansing,3.77
48911,MI,Ingham,Lansing,3.89
48933,MI,Ingham,Lansing,3.91
48951,MI,Ingham,Lansing,4.12
48912,MI,Ingham,Lansing,4.27
48915,MI,Ingham,Lansing,5.24
48842,MI,Ingham,Holt,7.40
48917,MI,Eaton,Lansing,9.08
48823,MI,Ingham,East Lansing,9.48
48906,MI,Clinton,Lansing,9.73
48864,MI,Ingham,Okemos,9.88
48821,MI,Eaton,Dimondale,12.70
48840,MI,Ingham,Haslett,14.46
48854,MI,Ingham,Mason,14.63
48808,MI,Clinton,Bath,15.06
48820,MI,Clinton,Dewitt,17.82
48876,MI,Eaton,Potterville,18.95
48837,MI,Eaton,Grand Ledge,20.69
48895,MI,Ingham,Williamston,20.87
48848,MI,Shiawassee,Laingsburg,21.69
48822,MI,Clinton,Eagle,24.27
48827,MI,Eaton,Eaton Rapids,24.78
48819,MI,Ingham,Dansville,26.69
49251,MI,Ingham,Leslie,27.63
48872,MI,Shiawassee,Perry,27.86
48813,MI,Eaton,Charlotte,28.65
49264,MI,Ingham,Onondaga,28.82
48892,MI,Ingham,Webberville,28.94
